# Project Fijnstof fake microSD log
# Plausibele testdata, niet gebruiken als echte meting
tijd_ms,pm1_ug_m3,pm25_ug_m3,pm10_ug_m3,aqi
0,3.95,8.75,13.85,1
5000,4.32,10.16,17.07,2
10000,3.50,8.89,13.68,1
15000,3.99,9.67,14.19,1
20000,3.74,9.42,15.26,1
25000,4.03,9.57,15.81,1
30000,4.25,9.86,14.74,1
35000,3.86,9.20,14.41,1
40000,4.06,9.47,13.75,1
45000,4.60,9.81,14.22,1
50000,4.80,10.49,15.86,2
55000,4.18,10.29,15.01,2
60000,4.09,9.36,15.64,1
65000,4.80,10.61,16.86,2
70000,4.74,10.37,16.05,2
75000,4.48,9.83,16.63,1
80000,4.96,10.59,16.64,2
85000,4.03,9.88,14.79,1
90000,4.11,10.22,15.60,2
95000,4.26,9.76,14.49,1
100000,4.38,10.45,15.58,2
105000,4.80,10.17,14.89,2
110000,4.20,10.35,17.38,2
115000,4.12,10.01,14.48,2
120000,4.22,9.62,14.08,1
125000,4.68,9.93,14.57,1
130000,4.36,10.21,16.58,2
135000,4.23,9.49,14.39,1
140000,4.47,9.76,15.27,1
145000,4.84,10.17,15.77,2
150000,4.63,11.04,17.30,2
155000,4.82,10.67,17.14,2
160000,4.07,10.04,15.14,2
165000,4.16,10.26,15.08,2
170000,4.41,9.96,15.10,1
175000,4.63,10.55,17.27,2
180000,4.93,11.18,16.98,2
185000,5.26,11.11,18.50,2
190000,4.56,10.46,15.94,2
195000,5.25,10.92,16.29,2
200000,4.57,10.69,18.00,2
205000,5.20,11.22,17.96,2
210000,5.06,10.52,15.81,2
215000,4.22,10.18,15.85,2
220000,4.47,10.92,16.51,2
225000,5.13,11.09,17.65,2
230000,4.46,10.34,16.78,2
235000,4.55,10.71,17.00,2
240000,4.90,10.17,16.40,2
245000,4.36,10.15,17.83,2
250000,4.63,10.45,17.99,2
255000,4.82,10.19,15.56,2
260000,5.27,11.25,18.47,2
265000,4.50,10.88,18.51,2
270000,4.85,10.68,18.31,2
275000,5.38,11.40,19.42,2
280000,4.58,10.82,19.01,2
285000,4.96,10.46,16.09,2
290000,5.04,10.61,16.07,2
295000,4.46,10.43,17.09,2
300000,4.66,10.44,16.44,2
305000,4.88,10.33,18.27,2
310000,5.38,11.44,17.55,2
315000,4.93,10.27,15.89,2
320000,4.37,10.39,17.10,2
325000,4.89,10.40,18.31,2
330000,5.34,11.20,17.99,2
335000,5.19,10.69,17.84,2
340000,5.04,10.93,18.69,2
345000,4.92,10.87,19.27,2
350000,5.30,10.96,17.21,2
355000,4.70,11.19,18.91,2
360000,4.54,10.72,16.36,2
365000,4.96,10.54,16.02,2
370000,4.94,10.82,17.89,2
375000,5.54,11.46,18.83,2
380000,5.30,10.84,17.85,2
385000,5.35,11.69,20.61,2
390000,4.81,10.98,17.89,2
395000,4.81,10.82,19.41,2
400000,5.77,11.91,19.04,2
405000,5.31,11.52,19.88,2
410000,4.73,11.08,19.78,2
415000,5.25,11.43,17.77,2
420000,4.89,11.23,17.13,2
425000,5.34,11.74,20.17,2
430000,5.68,12.00,19.32,2
435000,5.66,11.91,18.88,2
440000,5.58,12.14,21.45,2
445000,6.10,12.99,20.86,2
450000,5.57,12.94,21.28,2
455000,5.73,12.07,20.97,2
460000,6.18,12.79,22.06,2
465000,6.35,13.26,20.57,2
470000,6.21,13.49,22.61,2
475000,6.39,13.63,23.57,2
480000,6.24,14.08,22.31,2
485000,5.96,13.11,22.69,2
490000,6.47,13.19,22.87,2
495000,6.37,14.07,22.45,2
500000,6.84,13.98,23.02,2
505000,7.01,15.23,26.10,2
510000,6.74,14.22,24.41,2
515000,7.03,14.64,25.38,2
520000,6.74,15.43,24.34,2
525000,7.23,16.33,27.75,2
530000,7.66,15.83,27.25,2
535000,7.83,16.51,28.66,2
540000,7.88,17.08,28.61,2
545000,7.96,17.79,29.41,2
550000,8.00,17.06,29.47,2
555000,8.14,18.09,28.51,2
560000,8.22,17.60,27.88,2
565000,8.03,17.98,30.39,2
570000,9.26,19.10,31.67,2
575000,9.15,19.47,33.36,2
580000,9.11,19.91,34.26,2
585000,10.02,21.03,34.81,3
590000,9.36,20.70,33.44,3
595000,10.23,22.03,35.86,3
600000,10.03,21.39,36.52,3
605000,10.26,22.58,37.39,3
610000,10.90,23.34,37.21,3
615000,10.38,22.48,37.09,3
620000,10.91,22.76,36.52,3
625000,11.45,24.29,39.84,3
630000,11.05,24.07,40.28,3
635000,11.67,24.34,40.76,3
640000,12.44,25.83,42.45,4
645000,11.72,25.22,41.93,4
650000,11.89,25.83,40.96,4
655000,12.28,26.75,44.54,4
660000,12.89,27.03,45.38,4
665000,12.49,26.20,43.82,4
670000,12.85,27.32,44.70,4
675000,12.86,27.95,46.12,4
680000,13.12,27.18,43.47,4
685000,12.98,28.39,46.04,4
690000,13.68,28.60,48.10,4
695000,12.92,27.81,44.89,4
700000,13.36,28.30,47.54,4
705000,13.53,28.90,46.95,4
710000,13.40,28.95,47.71,4
715000,13.84,29.13,48.33,4
